Classificação;Equipe;AP(%);Temporada
1;Flamengo;92.9;2008-09
2;Brasília;78.6;2008-09
3;123 Minas;75.0;2008-09
4;Joinville;75.0;2008-09
5;Limeira;64.3;2008-09
6;Bauru;57.1;2008-09
7;Sesi Franca;57.1;2008-09
8;Pinheiros;57.1;2008-09
9;Paulistano;39.3;2008-09
10;Espírito Santo;35.7;2008-09
11;Assis;35.7;2008-09
12;Araraquara;28.6;2008-09
13;São José;25.0;2008-09
14;Saldanha;14.3;2008-09
15;Lajeado;14.3;2008-09
1;Brasília;80.8;2009-10
2;Flamengo;76.9;2009-10
3;Sesi Franca;65.4;2009-10
4;123 Minas;65.4;2009-10
5;Joinville;57.7;2009-10
6;Pinheiros;53.8;2009-10
7;São José;50.0;2009-10
8;Bauru;46.2;2009-10
9;Assis;42.3;2009-10
10;Araraquara;38.5;2009-10
11;Paulistano;38.5;2009-10
12;Espírito Santo;30.8;2009-10
13;Londrina;30.8;2009-10
14;Saldanha;23.1;2009-10
1;Sesi Franca;71.4;2010-11
2;Pinheiros;71.4;2010-11
3;Brasília;71.4;2010-11
4;Flamengo;71.4;2010-11
5;Bauru;67.9;2010-11
6;Uberlândia;67.9;2010-11
7;Joinville;60.7;2010-11
8;São José;53.6;2010-11
9;123 Minas;46.4;2010-11
10;Limeira;42.9;2010-11
11;Araraquara;32.1;2010-11
12;Paulistano;28.6;2010-11
13;Vitória (ES);25.0;2010-11
14;Espírito Santo;21.4;2010-11
15;Assis;17.9;2010-11
1;São José;82.1;2011-12
2;Pinheiros;75.0;2011-12
3;Brasília;75.0;2011-12
4;Flamengo;75.0;2011-12
5;Uberlândia;64.3;2011-12
6;Bauru;60.7;2011-12
7;Paulistano;60.7;2011-12
8;Joinville;50.0;2011-12
9;Limeira;46.4;2011-12
10;Sesi Franca;46.4;2011-12
11;L. Sorocabana;39.3;2011-12
12;Tijuca;32.1;2011-12
13;123 Minas;32.1;2011-12
14;Araraquara;7.1;2011-12
15;Espírito Santo;3.6;2011-12
1;Flamengo;100.0;2012-13
2;Brasília;76.5;2012-13
3;Uberlândia;70.6;2012-13
4;Pinheiros;64.7;2012-13
5;Bauru;64.7;2012-13
6;Sesi Franca;64.7;2012-13
7;São José;58.8;2012-13
8;Fortaleza B. C.;52.9;2012-13
9;Paulistano;52.9;2012-13
10;Joinville;47.1;2012-13
11;123 Minas;47.1;2012-13
12;Limeira;47.1;2012-13
13;L. Sorocabana;47.1;2012-13
14;Mogi;35.3;2012-13
15;Espírito Santo;29.4;2012-13
16;Suzano;17.6;2012-13
17;Tijuca;11.8;2012-13
18;Palmeiras;11.8;2012-13
1;Flamengo;81.3;2013-14
2;Paulistano;71.9;2013-14
3;Brasília;65.6;2013-14
4;Limeira;65.6;2013-14
5;Pinheiros;62.5;2013-14
6;São José;59.4;2013-14
7;Uberlândia;59.4;2013-14
8;Bauru;56.3;2013-14
9;Fortaleza B. C.;46.9;2013-14
10;Sesi Franca;46.9;2013-14
11;Palmeiras;46.9;2013-14
12;Mogi;43.8;2013-14
13;Macaé Basquete;40.6;2013-14
14;L. Sorocabana;31.3;2013-14
15;123 Minas;31.3;2013-14
16;Goiânia;28.1;2013-14
17;Espírito Santo;12.5;2013-14
1;Bauru;93.3;2014-15
2;Limeira;83.3;2014-15
3;Flamengo;76.7;2014-15
4;Mogi;70.0;2014-15
5;123 Minas;56.7;2014-15
6;Paulistano;56.7;2014-15
7;Pinheiros;53.3;2014-15
8;Sesi Franca;46.7;2014-15
9;Palmeiras;43.3;2014-15
10;Brasília;40.0;2014-15
11;São José;40.0;2014-15
12;Macaé Basquete;30.0;2014-15
13;Uberlândia;30.0;2014-15
14;Fortaleza B. C.;26.7;2014-15
15;Rio Claro;26.7;2014-15
16;L. Sorocabana;26.7;2014-15
1;Flamengo;82.1;2015-16
2;Bauru;75.0;2015-16
3;Paulistano;71.4;2015-16
4;Fortaleza B. C.;67.9;2015-16
5;Mogi;67.9;2015-16
6;Brasília;64.3;2015-16
7;Pinheiros;50.0;2015-16
8;Rio Claro;46.4;2015-16
9;Sesi Franca;46.4;2015-16
10;123 Minas;42.9;2015-16
11;Caxias do Sul Basquete;32.1;2015-16
12;L. Sorocabana;28.6;2015-16
13;Vitória;28.6;2015-16
14;São José;25.0;2015-16
15;Macaé Basquete;21.4;2015-16
1;Flamengo;75.0;2016-17
2;Mogi;71.4;2016-17
3;Sesi Franca;67.9;2016-17
4;Brasília;67.9;2016-17
5;Bauru;64.3;2016-17
6;Paulistano;57.1;2016-17
7;Vitória;57.1;2016-17
8;Pinheiros;57.1;2016-17
9;Vasco da Gama/Tijuca;50.0;2016-17
10;VipTech CMB;46.4;2016-17
11;Fortaleza B. C.;42.9;2016-17
12;Macaé Basquete;28.6;2016-17
13;123 Minas;25.0;2016-17
14;L. Sorocabana;21.4;2016-17
15;Caxias do Sul Basquete;17.9;2016-17
16;Rio Claro;0.0;2016-17
1;Flamengo;89.3;2017-18
2;Paulistano;85.7;2017-18
3;Sesi Franca;78.6;2017-18
4;Mogi;67.9;2017-18
5;Caxias do Sul Basquete;57.1;2017-18
6;Bauru;57.1;2017-18
7;Pinheiros;53.6;2017-18
8;Vitória;50.0;2017-18
9;123 Minas;50.0;2017-18
10;Fortaleza B. C.;42.9;2017-18
11;Vasco da Gama/Tijuca;42.9;2017-18
12;Botafogo;25.0;2017-18
13;Joinville / AABJ;25.0;2017-18
14;VipTech CMB;14.3;2017-18
15;L. Sorocabana;10.7;2017-18
1;Sesi Franca;88.5;2018-19
2;Flamengo;84.6;2018-19
3;Pinheiros;80.8;2018-19
4;Mogi;65.4;2018-19
5;Paulistano;61.5;2018-19
6;Botafogo;46.2;2018-19
7;Corinthians;46.2;2018-19
8;Bauru;42.3;2018-19
9;123 Minas;42.3;2018-19
10;BRB/Brasília;38.5;2018-19
11;São José;34.6;2018-19
12;Fortaleza B. C.;30.8;2018-19
13;Vasco da Gama/Tijuca;19.2;2018-19
14;Joinville / AABJ;19.2;2018-19
1;Flamengo;87.5;2019-20
2;Sesi Franca;80.0;2019-20
3;São Paulo;76.9;2019-20
4;123 Minas;65.4;2019-20
5;Mogi;61.5;2019-20
6;Pinheiros;55.6;2019-20
7;Corinthians;50.0;2019-20
8;Botafogo;50.0;2019-20
9;Rio Claro;50.0;2019-20
10;UNIFACISA;48.1;2019-20
11;Paulistano;44.0;2019-20
12;Bauru;42.3;2019-20
13;BRB/Brasília;30.8;2019-20
14;São José;25.9;2019-20
15;Fortaleza B. C.;19.2;2019-20
16;Pato Basquete;16.0;2019-20
1;Flamengo;93.3;2020-21
2;123 Minas;86.7;2020-21
3;São Paulo;76.7;2020-21
4;Paulistano;73.3;2020-21
5;Bauru;63.3;2020-21
6;Corinthians;56.7;2020-21
7;Sesi Franca;50.0;2020-21
8;Mogi;50.0;2020-21
9;UNIFACISA;46.7;2020-21
10;Fortaleza B. C.;46.7;2020-21
11;Pato Basquete;40.0;2020-21
12;Caxias do Sul Basquete;30.0;2020-21
13;Pinheiros;26.7;2020-21
14;Cerrado Basquete;23.3;2020-21
15;VipTech CMB;20.0;2020-21
16;BRB/Brasília;16.7;2020-21
1;Sesi Franca;90.6;2021-22
2;Flamengo;81.3;2021-22
3;123 Minas;78.1;2021-22
4;São Paulo;71.9;2021-22
5;Bauru;65.6;2021-22
6;UNIFACISA;62.5;2021-22
7;Paulistano;53.1;2021-22
8;Pinheiros;46.9;2021-22
9;Corinthians;40.6;2021-22
10;Rio Claro;40.6;2021-22
11;Caxias do Sul Basquete;37.5;2021-22
12;Pato Basquete;37.5;2021-22
13;Mogi;34.4;2021-22
14;Fortaleza B. C.;31.3;2021-22
15;Cerrado Basquete;31.3;2021-22
16;Luvix/União Corinthians;25.0;2021-22
17;BRB/Brasília;21.9;2021-22
